XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
640069.33646339,2716582.91416405,21,25,13,113.08093001684
639962.46908527,2716618.04787572,25,21,13,113.08093001684
639962.46908527,2716618.04787572,25,34,18,77.5274689533782
639962.46908527,2716618.04787572,25,79,41,139.574630666523
639717.11509324,2716628.87012401,27,28,14,17.5736172594097
639726.91998444,2716643.45422947,28,27,14,17.5736172594097
639726.91998444,2716643.45422947,28,29,15,117.77355984149
639726.91998444,2716643.45422947,28,42,21,80.5538305079201
639774.32011644,2716550.20672787,29,28,15,117.77355984149
640575.68511256,2716647.44609362,32,16,16,717.277691318307
640575.68511256,2716647.44609362,32,54,27,126.200505016806
640575.68511256,2716647.44609362,32,124,62,380.581341796269
639893.12816646,2716652.66129264,34,17,17,83.6695374430231
639893.12816646,2716652.66129264,34,25,18,77.5274689533782
639893.12816646,2716652.66129264,34,44,22,49.710157130081
659751.85720174,2716665.91108130,37,3,19,1558.6466570588
659771.78755613,2716666.13917520,40,9,20,1517.3539584938
639660.10167685,2716688.44571066,42,28,21,80.5538305079201
639864.44915211,2716693.26441885,44,34,22,49.710157130081
639864.44915211,2716693.26441885,44,56,28,64.2663126031901
639864.44915211,2716693.26441885,44,79,40,144.501479620316
639716.63940205,2716693.94388638,45,17,23,225.5349395792
639716.63940205,2716693.94388638,45,58,29,30.3364141632459
639716.63940205,2716693.94388638,45,136,69,318.135141881706
639490.70466138,2716703.03085090,47,48,24,16.6778822066112
639505.54841883,2716695.42725834,48,47,24,16.6778822066112
639632.81882269,2716706.81653652,49,50,25,11.5499080115582
639632.81882269,2716706.81653652,49,51,26,17.8479674590838
639632.81882269,2716706.81653652,49,76,39,76.8743651530649
639627.34695081,2716696.64505713,50,49,25,11.5499080115582
639647.62342024,2716696.84789399,51,49,26,17.8479674590838
640472.73931420,2716718.57747645,54,32,27,126.200505016806
640472.73931420,2716718.57747645,54,61,31,5.59088338906453
640472.73931420,2716718.57747645,54,66,33,34.7114587152781
639805.40207347,2716718.63371997,56,44,28,64.2663126031901
639805.40207347,2716718.63371997,56,58,30,85.2835886834907
639805.40207347,2716718.63371997,56,69,36,43.8349989911596
639805.40207347,2716718.63371997,56,69,48,203.737593827582
639733.77139798,2716718.97971549,58,45,29,30.3364141632459
639733.77139798,2716718.97971549,58,56,30,85.2835886834907
639733.77139798,2716718.97971549,58,68,34,26.2211334211192
640474.92627310,2716723.71634966,61,54,31,5.59088338906453
640474.92627310,2716723.71634966,61,63,32,44.2301515694482
640474.92627310,2716723.71634966,61,74,37,25.1610070485629
640510.64299967,2716697.62762281,63,61,32,44.2301515694482
640510.64299967,2716697.62762281,63,103,52,152.913268971191
640510.64299967,2716697.62762281,63,103,53,230.939850087362
640439.55316608,2716728.75416254,66,54,33,34.7114587152781
640439.55316608,2716728.75416254,66,84,42,146.555790056277
640439.55316608,2716728.75416254,66,117,60,161.323333447435
639749.87304223,2716739.67476057,68,58,34,26.2211334211192
639749.87304223,2716739.67476057,68,69,35,21.6839872060775
639749.87304223,2716739.67476057,68,160,80,291.012167200901
639768.32613743,2716742.01923051,69,68,35,21.6839872060775
639768.32613743,2716742.01923051,69,56,36,43.8349989911596
639768.32613743,2716742.01923051,69,56,48,203.737593827582
640463.82981585,2716746.29830954,74,61,37,25.1610070485629
639524.77583821,2716695.61943243,75,76,38,70.6714136138489
639568.81891100,2716749.40385060,76,75,38,70.6714136138489
639568.81891100,2716749.40385060,76,49,39,76.8743651530649
639568.81891100,2716749.40385060,76,86,43,86.2566951911555
639996.50204355,2716749.66636261,79,44,40,144.501479620316
639996.50204355,2716749.66636261,79,25,41,139.574630666523
639996.50204355,2716749.66636261,79,89,45,36.9457650985178
640298.41743140,2716767.87106252,84,66,42,146.555790056277
640298.41743140,2716767.87106252,84,97,50,98.9745364859048
640298.41743140,2716767.87106252,84,117,59,65.1447679829198
639494.70411189,2716770.28220354,86,76,43,86.2566951911555
639494.70411189,2716770.28220354,86,88,44,44.3096061684663
639494.70411189,2716770.28220354,86,94,47,31.0946452860497
639462.19538214,2716771.81097124,88,86,44,44.3096061684663
640014.64244960,2716780.15072804,89,79,45,36.9457650985178
640014.64244960,2716780.15072804,89,91,46,99.4854262918384
640014.64244960,2716780.15072804,89,125,63,57.9432911922701
640029.87155349,2716699.96222536,91,89,46,99.4854262918384
639467.38791845,2716785.13826430,94,86,47,31.0946452860497
640202.54294750,2716791.76105525,97,19,49,271.923219975962
640202.54294750,2716791.76105525,97,84,50,98.9745364859048
640202.54294750,2716791.76105525,97,102,51,10.2878455397649
640192.89403180,2716795.33011558,102,97,51,10.2878455397649
640192.89403180,2716795.33011558,102,110,55,30.6420485634162
640192.89403180,2716795.33011558,102,113,58,35.101727605733
640627.34580271,2716796.38883626,103,63,52,152.913268971191
640627.34580271,2716796.38883626,103,63,53,230.939850087362
640627.34580271,2716796.38883626,103,121,61,44.141190120668
640627.34580271,2716796.38883626,103,131,66,85.7380403639421
639447.43998403,2716796.55707755,107,108,54,16.5047337703409
639433.26889251,2716805.01795232,108,107,54,16.5047337703409
640164.00340855,2716805.49520138,110,102,55,30.6420485634162
640164.00340855,2716805.49520138,110,113,57,27.3442706071272
640164.00340855,2716805.49520138,110,125,64,139.864552153848
639442.26717907,2716824.60373627,111,112,56,18.6036679164176
639433.23571341,2716808.33938605,112,111,56,18.6036679164176
640179.90644955,2716827.73935617,113,110,57,27.3442706071272
640179.90644955,2716827.73935617,113,102,58,35.101727605733
640179.90644955,2716827.73935617,113,163,82,130.106290072799
