XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
841716.03974436,2619056.46193943,60,59,30,209.768449194608
841716.03974436,2619056.46193943,60,55,31,7.75813525578765
841716.03974436,2619056.46193943,60,64,32,24.0709951776526
841722.35986398,2619079.68840917,64,60,32,24.0709951776526
841722.35986398,2619079.68840917,64,55,33,24.249308961781
841722.35986398,2619079.68840917,64,128,64,676.425078592068
849443.35518439,2619099.50073794,68,33,34,171.9136103067
848472.98143943,2619110.78853945,70,40,35,434.939342605102
848472.98143943,2619110.78853945,70,28,36,226.710336326107
848472.98143943,2619110.78853945,70,86,43,131.611588645347
847065.88658756,2619138.42043336,73,49,37,238.958314957203
830346.53819392,2617707.82034936,75,76,38,4470.7915418555
830346.53819392,2617707.82034936,75,10,19695,33.6849328385492
826473.85111857,2619058.93648439,76,75,38,4470.7915418555
826473.85111857,2619058.93648439,76,131,19698,44.534633562083
849263.85487826,2619192.99163585,78,45,39,179.871324534797
849263.85487826,2619192.99163585,78,82,46,871.004088056465
849263.85487826,2619192.99163585,78,122,61,499.002735454272
846982.82106346,2619221.74140768,79,80,40,39.7222865409102
847010.77817875,2619193.69817096,80,79,40,39.7222865409102
850107.27058220,2619223.90950343,82,25,41,778.763944712403
850107.27058220,2619223.90950343,82,84,42,148.316442611181
850107.27058220,2619223.90950343,82,78,46,871.004088056465
850219.43789967,2619156.66850225,84,82,42,148.316442611181
848448.34070786,2619239.58253106,86,70,43,131.611588645347
848448.34070786,2619239.58253106,86,49,44,1234.43090727365
848448.34070786,2619239.58253106,86,106,53,295.079396386243
851994.63518112,2619254.33922478,89,52,45,213.226373597951
851994.63518112,2619254.33922478,89,93,47,262.168187508227
851994.63518112,2619254.33922478,89,109,55,355.25738273477
852219.02574275,2619388.34582221,93,89,47,262.168187508227
852219.02574275,2619388.34582221,93,96,48,177.811499188918
852219.02574275,2619388.34582221,93,109,56,397.759876681675
852219.02574275,2619388.34582221,93,113,57,301.799030246677
852339.37477466,2619258.35346465,96,93,48,177.811499188918
841279.61192695,2618735.51552189,97,98,49,1890.52937037033
839623.53082564,2619391.64547500,98,97,49,1890.52937037033
819842.01481729,2619413.98927555,99,100,50,5781.16805061041
819842.01481729,2619413.98927555,99,152,19699,58.968055604466
817761.92206399,2615382.23354851,100,99,50,5781.16805061041
817761.92206399,2615382.23354851,100,39388,19694,131.799131005175
853973.39196447,2619471.90970090,101,102,51,536.862389714883
854279.27526266,2619052.11913107,102,101,51,536.862389714883
822857.66274983,2619480.56399644,103,104,52,42.7058605169632
822857.66274983,2619480.56399644,103,132,77,4984.3370079288
822857.66274983,2619480.56399644,103,344,172,853.091524353708
822899.59791486,2619486.20669307,104,103,52,42.7058605169632
822899.59791486,2619486.20669307,104,107,19700,139.05613672843
848417.65276840,2619532.24066054,106,86,53,295.079396386243
848417.65276840,2619532.24066054,106,119,19701,74.8034922267068
823038.28957908,2619476.14530955,107,108,54,191.893813047934
823038.28957908,2619476.14530955,107,104,19700,139.05613672843
823207.26264164,2619561.88094678,108,107,54,191.893813047934
851891.24913412,2619586.82330063,109,89,55,355.25738273477
851891.24913412,2619586.82330063,109,93,56,397.759876681675
851891.24913412,2619586.82330063,109,299,150,608.213615967398
852358.89974834,2619616.30401743,113,93,57,301.799030246677
842999.61307656,2619030.66361633,115,116,58,616.396317385181
842976.73493903,2619646.58944950,116,115,58,616.396317385181
842976.73493903,2619646.58944950,116,125,19702,54.9704251844068
848383.77205653,2619665.92626936,117,118,59,851.77719815894
848383.77205653,2619665.92626936,117,119,60,63.1268137987615
848383.77205653,2619665.92626936,117,480,240,1268.99199040408
847598.38576697,2619574.64908309,118,117,59,851.77719815894
848400.23895792,2619604.98900522,119,117,60,63.1268137987615
848400.23895792,2619604.98900522,119,106,19701,74.8034922267068
849148.69460049,2619671.05783624,122,78,61,499.002735454272
853780.10083476,2619679.86109941,123,124,62,187.672876846712
853908.26255818,2619543.55944858,124,123,62,187.672876846712
842972.50118022,2619701.39659257,125,126,63,8.23263493205634
842972.50118022,2619701.39659257,125,116,19702,54.9704251844068
842971.99085136,2619709.61339501,126,125,63,8.23263493205634
842971.99085136,2619709.61339501,126,128,65,1133.00098897817
842971.99085136,2619709.61339501,126,172,86,301.2996879704
841871.58038775,2619738.57401711,128,64,64,676.425078592068
841871.58038775,2619738.57401711,128,126,65,1133.00098897817
841871.58038775,2619738.57401711,128,280,140,1402.88286256469
841871.58038775,2619738.57401711,128,364,182,776.391133986312
826431.29579042,2619045.80721813,131,132,66,854.681639683635
826431.29579042,2619045.80721813,131,76,19698,44.534633562083
826014.47799606,2619779.33230695,132,131,66,854.681639683635
826014.47799606,2619779.33230695,132,134,67,23.5315908113233
826014.47799606,2619779.33230695,132,103,77,4984.3370079288
826032.55621702,2619794.39596166,134,132,67,23.5315908113233
826032.55621702,2619794.39596166,134,155,78,164.531752783355
826032.55621702,2619794.39596166,134,160,80,227.470926609582
847499.35644392,2619797.57835695,135,136,68,20.277094720475
847519.46058993,2619800.22106078,136,135,68,20.277094720475
847519.46058993,2619800.22106078,136,137,69,153.452607417063
847519.46058993,2619800.22106078,136,140,70,33.9396983412955
847519.46058993,2619800.22106078,136,162,81,168.725225481227
847517.61294704,2619648.69076252,137,136,69,153.452607417063
847553.10991198,2619804.65121305,140,136,70,33.9396983412955
847553.10991198,2619804.65121305,140,141,71,76.2897668099243
847553.10991198,2619804.65121305,140,144,72,30.8994471356731
847553.10991198,2619804.65121305,140,163,83,168.742736594262
847561.64276754,2619728.84013934,141,140,71,76.2897668099243
847583.74455975,2619808.68781919,144,140,72,30.8994471356731
847583.74455975,2619808.68781919,144,146,73,80.3769974236256
847583.74455975,2619808.68781919,144,148,74,32.7689931059666
847583.74455975,2619808.68781919,144,167,85,168.774685017007
847592.37552562,2619728.77556642,146,144,73,80.3769974236256
847616.23276651,2619812.96839513,148,144,74,32.7689931059666
847616.23276651,2619812.96839513,148,150,75,79.0861258879692
847616.23276651,2619812.96839513,148,175,89,168.769206716669
847625.23036111,2619734.39576249,150,148,75,79.0861258879692
820420.12695356,2619849.73200642,151,152,76,687.421813140748
820420.12695356,2619849.73200642,151,158,19703,38.6448608797088
819899.25651795,2619428.15328937,152,151,76,687.421813140748
819899.25651795,2619428.15328937,152,99,19699,58.968055604466
825985.32879799,2619950.24733656,155,134,78,164.531752783355
821050.60607778,2619950.97782716,157,158,79,612.165194437791
821050.60607778,2619950.97782716,157,346,19704,32.8553374024313
820457.57556737,2619859.16068589,158,157,79,612.165194437791
820457.57556737,2619859.16068589,158,151,19703,38.6448608797088
826132.54074270,2619966.18664531,160,134,80,227.470926609582
826132.54074270,2619966.18664531,160,413,19706,136.770098285319
847500.89777642,2619967.92205562,162,136,81,168.725225481227
847500.89777642,2619967.92205562,162,163,82,33.613171522203
847500.89777642,2619967.92205562,162,202,101,85.9565780060795
847500.89777642,2619967.92205562,162,204,103,80.1062041511924
847534.22023117,2619972.33332632,163,162,82,33.613171522203
847534.22023117,2619972.33332632,163,140,83,168.742736594262
847534.22023117,2619972.33332632,163,167,84,31.6916874380691
847534.22023117,2619972.33332632,163,208,105,79.5730259210123
847565.63834398,2619976.48847251,167,163,84,31.6916874380691
847565.63834398,2619976.48847251,167,144,85,168.774685017007
847565.63834398,2619976.48847251,167,175,88,31.6815343591006
847565.63834398,2619976.48847251,167,216,109,79.0740599040706
843085.78882770,2619977.31521700,172,126,86,301.2996879704
843085.78882770,2619977.31521700,172,173,87,512.590967123714
843085.78882770,2619977.31521700,172,386,193,932.594753523106
843564.72219077,2619817.38643879,173,172,87,512.590967123714
847597.04623829,2619980.64344477,175,167,88,31.6815343591006
847597.04623829,2619980.64344477,175,148,89,168.769206716669
