map, time (ms)
Surat , 99.71904754638672
Quanzhou , 155.48419952392578
Dongguan , 165.8799648284912
Zhengzhou , 274.03998374938965
Dhaka , 210.15214920043945
Baghdad , 1305.0508499145508
Beijing , 4598.824977874756
LosAngeles , 14637.654066085815
NewYork , 8180.474042892456
Paris , 22016.30997657776
SaoPaolo , 8100.701808929443
WashingtonDC , 8378.968000411987
